Alabama,0.02,0,7500,3000,1000,
Alabama,0.04,1000,7500,3000,1000,
Alabama,0.05,6000,7500,3000,1000,
Alaska,0, ,0,0,0,
Arizona,0.0259,0,10010,4200,2300,
Arizona,0.0288,20000,10010,4200,2300,
Arizona,0.0336,50000,10010,4200,2300,
Arizona,0.0424,100000,10010,4200,2300,
Arizona,0.0454,300000,10010,4200,2300,
Arkansas,0.01,0,4000,52,26,
Arkansas,0.025,4299,4000,52,26,
Arkansas,0.035,8399,4000,52,26,
Arkansas,0.045,12599,4000,52,26,
Arkansas,0.06,20999,4000,52,26,
Arkansas,0.07,35099,4000,52,26,
California,0.01,0,7984,216,333,
California,0.02,15498,7984,216,333,
California,0.04,36742,7984,216,333,
California,0.06,57990,7984,216,333,
California,0.08,80500,7984,216,333,
California,0.093,101738,7984,216,333,
California,0.103,519688,7984,216,333,
California,0.113,623624,7984,216,333,
California,0.123,1000000,7984,216,333,
California,0.133,1039374,7984,216,333,
Colorado,4.63% of federal, ,0,0,0,
Colorado, , , , , ,
Connecticut,0.03,0,0,24000,0,
Connecticut,0.05,20000,0,24000,0,
Connecticut,0.055,100000,0,24000,0,
Connecticut,0.06,200000,0,24000,0,
Connecticut,0.065,400000,0,24000,0,
Connecticut,0.067,500000,0,24000,0,
Delaware,0.022,2000,6500,220,110,
Delaware,0.039,5000,6500,220,110,
Delaware,0.048,10000,6500,220,110,
Delaware,0.052,20000,6500,220,110,
Delaware,0.0555,25000,6500,220,110,
Delaware,0.066,60000,6500,220,110,
Florida,0,0,0,0,0,
Georgia,0.01,0,3000,7400,3000,
Georgia,0.02,1000,3000,7400,3000,
Georgia,0.03,3000,3000,7400,3000,
Georgia,0.04,5000,3000,7400,3000,
Georgia,0.05,7000,3000,7400,3000,
Georgia,0.06,10000,3000,7400,3000,
Hawaii,0.014,0,4400,2288,1144,
Hawaii,0.032,4800,4400,2288,1144,
Hawaii,0.055,9600,4400,2288,1144,
Hawaii,0.064,19200,4400,2288,1144,
Hawaii,0.068,28800,4400,2288,1144,
Hawaii,0.072,38400,4400,2288,1144,
Hawaii,0.076,48000,4400,2288,1144,
Hawaii,0.079,72000,4400,2288,1144,
Hawaii,0.0825,96000,4400,2288,1144,
Hawaii,0.09,300000,4400,2288,1144,
Hawaii,0.1,350000,4400,2288,1144,
Hawaii,0.11,400000,4400,2288,1144,
Idaho,0.016,0,12600,8000,4000,
Idaho,0.036,2857,12600,8000,4000,
Idaho,0.041,5715,12600,8000,4000,
Idaho,0.051,8573,12600,8000,4000,
Idaho,0.061,11431,12600,8000,4000,
Idaho,0.071,14289,12600,8000,4000,
Idaho,0.074,21436,12600,8000,4000,
Illinois,3.75% of federal, ,0,4250,2125,
Indiana,3.3% of federal, ,0,2000,1500,
Iowa,0.0036,0,4810,80,40,
Iowa,0.0072,1539,4810,80,40,
Iowa,0.0243,3078,4810,80,40,
Iowa,0.045,6156,4810,80,40,
Iowa,0.0612,13851,4810,80,40,
Iowa,0.0648,23085,4810,80,40,
Iowa,0.068,30780,4810,80,40,
Iowa,0.0792,46170,4810,80,40,
Iowa,0.0898,69255,4810,80,40,
Kansas,0.027,0,7500,4500,2250,
Kansas,0.046,30000,7500,4500,2250,
Kentucky,0.02,0,2440,40,20,
Kentucky,0.03,3000,2440,40,20,
Kentucky,0.04,4000,2440,40,20,
Kentucky,0.05,5000,2440,40,20,
Kentucky,0.058,8000,2440,40,20,
Kentucky,0.06,75000,2440,40,20,
Lousiana,0.02,0,0,9000,1000,
Lousiana,0.04,25000,0,9000,1000,
